@relation whatever-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute m_out numeric
@attribute income_per_person numeric
@attribute year numeric
@attribute m_in numeric

@data
36152800270.0498,74.9,4547.958209,3016400,155629,34316,1990,445694
12694544692.7374,71,110.170208,5277709,130764,14366,1990,41183
?,73.7,99.213555,2006520,84425,19147,1990,178032
302515026.890225,60.1,11.141443,311849,1194,1793,1990,3925
?,48.8,10.076856,6321615,846606,930,1990,460000
112014836393.151,62,29.016808,36793490,326425,10364,1990,1057863
284757121057.986,71.8,444.425492,42972254,1625095,12087,1990,40921
?,50.9,?,5762190,514943,2013,1990,0
535101248775.71,76.9,77.787993,39192055,1448998,24126,1990,817573
8032551173.24014,70.5,272.332961,17330817,884854,3340,1990,39935
?,?,552.132353,24970,14368,?,1990,0
12408647780.4484,58.9,10.846378,20008804,585849,1753,1990,1369612
388300000,69.7,2.617154,408276,179589,10625,1990,10581
1114694112.47478,60.7,50.158605,862728,35067,4844,1990,67820
258154283908.9,77.6,20.857911,8559107,201373,30901,1990,720175
257420293190.325,77.5,169.888411,6673920,323025,46600,1990,1162183
12308624283.9787,70.5,67.752416,12451539,615517,3809,1990,248732
2629395066.27017,65.3,37.848571,5297286,536211,3635,1990,428236
4258742898.93795,55.2,28.740357,25458208,202850,1471,1990,569603
85343189320.7519,71,110.753438,56582824,308754,6369,1990,528671
3166000000,68.5,25.608192,256338,24994,24281,1990,25319
317083373.524559,61.3,90.593972,916811,36131,1517,1990,114683
1628427587.46411,57.8,69.625703,3786942,193357,1350,1990,74051
113563821.577404,69.1,132.155556,95152,26503,3572,1990,820
5068000000,69.1,238.187914,1221904,196602,13464,1990,46645
12290568181.8182,71.8,52.487127,8232797,453522,5502,1990,32025
150676291094.21,68.1,70.156575,53994605,2529919,10670,1990,979704
3189539641.3171,63.9,7.805418,3668000,259966,8353,1990,304375
?,?,12.157895,11550,2311,10751,1990,4481
8824746.238132,?,300.133333,9004,2289,2369,1990,239
1564700032,74.73,297.037143,103253,2362,?,1990,44012
4304399516.07681,50.7,87.004499,17384369,310565,767,1990,536580
81456918678.5008,70,89.569345,51370009,5549216,10490,1990,6481438
50701443695.6113,70.6,21.668158,1811458,78979,114832,1990,1287556
1093169389204.55,75.7,236.628719,57110117,2684459,26424,1990,3641645
5979589000000,75.4,27.254514,252847810,1735161,37062,1990,20315256
9298839655.23138,73,17.769324,3109987,237010,9841,1990,91866
13360607990.6751,67.8,48.213446,20515248,1429711,3032,1990,1577433
158397406.344715,61.9,12.028958,146633,4213,2550,1990,1565
47027508385.03,72.5,22.517951,19861959,185282,14539,1990,1024726
6471740486.31946,69.3,202.822514,68209604,1232466,1501,1990,27398
5647251908.39695,58.5,22.654884,11961099,455221,3441,1990,90251
3288381797.32415,51.9,10.954064,8143142,80898,2407,1990,269896
8783816700,63,27.102937,10484771,168432,2532,1990,598946
?,49.4,25.69084,16772522,3616768,872,1995,55794
2424499009.14264,73.7,116.342482,3106727,498173,3941,1995,63452
41764052457.8814,71.6,12.135791,28904300,963470,9168,1995,250204
?,70.6,264.37,52874,2655,?,1995,22301
1178745314.32635,82.6,135.859574,63854,4024,26143,1995,39688
4967585281.89541,50.9,10.461752,13042666,668380,2859,1995,33126
494185185.185185,73.5,155.338636,68349,34611,17167,1995,16990
258031750000,73.5,12.787279,34994818,477924,10673,1995,1512538
1468317350.02343,69.1,113.212961,3223173,900020,2169,1995,654786
1320670391.06145,73.62,446.255556,80326,10622,38602,1995,19002
367949212949.213,78.3,2.35242,18124770,342288,30359,1995,4125550
240457622492.152,76.8,96.249431,7972833,488772,33480,1995,894893
3052467522.36104,64.6,92.348919,7770806,1712735,3320,1995,340965
5849467819.14894,73,793.985915,563730,28977,43244,1995,201392
37939748051.3878,61.6,909.793101,118427768,5417386,1424,1995,708325
2262218367.84335,73.3,616.190698,264962,87988,12587,1995,20140
13972637603.2102,68.2,50.25636,10159731,1749329,5275,1995,1186020
289567597153.804,76.9,?,10161914,370038,32774,1995,869676
620140400,70.5,9.073301,206962,40794,6209,1995,32317
2169627250.93379,56.7,53.083168,5985658,272868,1398,1995,88638
2030749952,72.5,1194.92,62694,41938,41999,1995,15980
303053462.843047,63.8,12.786357,508897,117839,2930,1995,25828
6715220507.05164,64.4,6.984876,7566716,281106,4068,1995,82464
1866572953.73665,67,75.767148,3879278,1347371,1976,1995,68250
4730611067.02258,56.8,2.781379,1576291,22891,8823,1995,35261
785643456467.255,69,19.47264,162755054,743292,11108,1995,713984
?,?,122.833333,18425,4239,?,1995,8840
4734020036.68689,74.7,55.979127,295010,33399,78406,1995,83870
13063422619.0476,71,75.983612,8358116,649928,8479,1995,30380
2379518099.2266,51.3,36.878202,10089876,1213647,869,1995,406520
1000428393.88528,44.5,242.952882,6239030,543901,835,1995,214117
3441205692.9166,58.1,60.584971,10694459,406572,1091,1995,86480
8733231184.34755,56.5,29.467485,13929575,135857,2188,1995,197678
604031623433.401,78,3.228016,29299478,1042148,32101,1995,4859011
487148993.533109,68.3,96.564764,389156,107054,2361,1995,8922
?,?,131.966667,31672,802,56588,1995,14243
1115389731.79119,46.7,5.35465,3335840,49084,881,1995,75910
1445919969.89272,53.6,5.560383,7001634,266959,1044,1995,83902
?,?,742.525773,?,15628,?,1995,59282
71349202308.6423,75.4,19.089946,14193986,493481,12759,1995,142417
732032045217.766,68.4,128.336621,1227841281,4901412,2551,1995,344062
92507277798.1985,72,33.746715,37441980,1199625,8643,1995,106189
231896229.562629,58.9,257.696937,479574,51284,1467,1995,12435
11722357067.305,76.8,68.760772,3510925,83242,8495,1995,203856
22387561845.2244,73,83.509211,4616762,650845,12543,1995,563714
30428638304.4183,75,101.546071,10906048,908045,9195,1995,22432
?,?,326.88964,143886,48647,?,1995,0
9914864165.58862,76.7,92.574567,855389,163112,26445,1995,61451
59537113790.5049,73.4,133.651521,10335556,314962,19093,1995,165592
5647034188.03419,52.6,18.607274,2721277,528702,4715,1995,1715920
185006961302.299,75.6,123.341339,5232582,207696,36670,1995,303108
