@relation 'whatever-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-M-weka.filters.unsupervised.attribute.ReplaceMissingValues'

@attribute gdp numeric
@attribute life_expectancy numeric
@attribute popdensity numeric
@attribute total_population numeric
@attribute income_per_person numeric
@attribute m_in numeric

@data
250030778.38846,57.1,223.075766,415144,1595,12560
7403457319.20472,76.6,60.63443,3095994,7333,209300
238284727566.4374,72.6,85.494545,4776374,17890,371626
28645436550.5319,74.7,98.529628,10582082,13670,29587
238284727566.4374,68.818541,327.477477,146674,15691.875833,0
5591130217.66965,76.8,82.966558,766611,23802,43432
40315847383.7197,71.8,133.73049,10323701,19839,110394
238284727566.4374,54.3,15.422102,2386467,5264,663006
138094873105.387,75.1,121.277164,5140332,33256,235189
452328104.992109,61,25.382053,588356,3050,114910
166322219.284866,72.8,94.570667,70928,6661,2055
7073674721.12418,71.8,148.668171,7183646,5278,289949
238284727566.4374,58.5,49.780161,740231,1046,7892
15239278100.3502,71.2,36.909713,10218085,7542,78436
43130416913.4141,65.2,56.655053,56397273,6020,164324
4800900000,67.7,253.478861,5252082,4454,47116
112119406.548331,48.9,13.453226,377363,1050,2214
238284727566.4374,52.4,31.08003,3139083,850,10766
238284727566.4374,70.1,37.017551,1565320,13260,381355
12175166763.285,45.2,43.648587,48057094,653,1125957
238284727566.4374,68.818541,34.40616,48031,15691.875833,4140
147200000,64.3,382.114859,96331,2763,103108
1337024782.22702,65.1,39.881007,728626,5694,11655
141517648888.198,75.1,16.370961,4986705,28599,61133
1275300566196.84,77.2,106.859827,56943299,29476,5897267
3181206304.81549,68.7,54.199454,198370,15691.875833,22416
5952293765.84484,59.5,3.695692,952269,19358,124621
7753501867.76095,69.9,84.012737,5460309,8018,330420
1764967948916.6,75.4,227.517054,78958237,31476,5601544
5889174833.90034,58,64.28874,14628260,1920,153715
238284727566.4374,68.818541,2683.3,26833,15691.875833,7438
97891090928.6328,77,79.106222,10131737,21085,618139
1018977225.44427,64.6,0.162716,55603,17371,9354
221070366.466127,69.9,283.194118,96286,7488,2793
238284727566.4374,72.6,241.633333,130482,15691.875833,67120
7650125576.4628,64.6,85.466097,9158547,5315,264169
2666616176.91609,52,24.556739,6034082,1128,402236
243961995.509711,51.5,37.56074,1056208,1564,14726
396582263.291139,64.2,3.65904,720282,3231,3674
238284727566.4374,54.3,257.610051,7099733,2242,17725
3048896180.84277,70.3,43.823067,4903363,3205,270279
